item_id,group,standards,item_information,tablet_student_materials_prompt,prompt,tablet_writing_scoring_instructions,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
E06LA1M07,6,E06LA1,"M - Here are three words. (Point to each.) Who left this mess on the table? (Point to sentence.) What word should go in the blank: Any, Who, or Our?",NA,____ left this mess on the table? [prgrph] What word should go in the blank?,NA,Any,Who,Our,b,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA1M08,6,E06LA1,"M - Here are three words. (Point to each.) Cass used my towel to dry off. (Point to sentence.) What word should go in the blank: him, their, or my?",NA,Cass used ____ towel to dry off. [prgrph] What word should go in the blank?,NA,him,their,my,c,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA1MSAMPLE,6,E06LA1,"M - Here are three words. (Point to each.) Adam left his book at the school. (Point to sentence.) What word should go in the blank: his, him, or he?",NA,Adam left _____ book at the school. [prgrph] What word should go in the blank?,NA,his,him,he,a,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA2H09,6,E06LA2a,"H - Here are three answer choices. (Point to each.) Which one has the parentheses in the correct place: A, B, or C?",NA,A) my name Jake) [prgrph] B) my name (Jake [prgrph] C) my name (Jake),NA,A,B,C,c,Do not use item.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA
E06LA2H10,6,E06LA2b,H - Here are three spellings of the word cookie. (Point to each.) Which word is spelled correctly? (Do not read answer choices.),NA,Which word is spelled correctly?,NA,cokly,cookie,ckiie,b,Changed distractors to be forms of cookie.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA2H11,6,E06LA2a,"H - Here are three answer choices. (Point to each.) Which one has the parentheses in the correct place: A, B, or C?",NA,A- (2009 - 2014) [prgrph] B- 2009 - 2014 [prgrph] C- (2009 - 2014,NA,A,B,C,a,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA2H12,6,E06LA2b,H - Here are three spellings of the word banana. (Point to each.) Which word is spelled correctly? (Do not read answer choices.),NA,Which word is spelled correctly?,NA,bnnaa,nanaba,banana,c,Adjusted a distractor word so that it started with a b.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,OI,NA,NA,0.654998244006826,0.65,0.65,NA
E06LA2L01,6,E06LA2a,"L - Here are three answer choices. (Point to and read to student.) Which one has parentheses: A, B, or C?",NA,A- (50) [prgrph] B- *50* [prgrph] C- %50%,NA,A,B,C,a,Changed the essentialized standard to include the identification of parenthesis.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA2L02,6,E06LA2b,L - Here are three pictures with words. (Point to each.) The pear tree is full. Which word is pear?,NA,NA,NA,bear,pear,tear,b,No changes.,NA,Bear1.ai,Pear1.ai,Rain_Drop.ai,Animals/Food/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA2L03,6,E06LA2a,"L - Here are three answer choices. (Point to and read to student.) Which one has parentheses: A, B, or C?",NA,A- $me$ [prgrph] B- ^me^ [prgrph] C- (me),NA,A,B,C,c,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA2L04,6,E06LA2b,L - Here are three pictures with words. (Point to each.) There is a tree. Which word is tree?,NA,NA,NA,tree,truck,train,a,No changes.,NA,Tree1.ai,Truck1.ai,Train3.ai,Plants_Outdoors/Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E06LA2M05,6,E06LA2a,"M - Here are three answer choices. (Point to each.) Which one has the comma in the correct place: A, B, or C?",NA,"A) ,Please eat. [prgrph] B) Please, eat [prgrph] C) Please eat,",NA,A,B,C,b,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA2M06,6,E06LA2b,M - Here are three words. (Point to each.) She lost the train. Which word is train? (Do not read answer choices.),NA,Which word is spelled correctly?,NA,trail,trace,train,c,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA2M07,6,E06LA2a,"M - Here are three answer choices. (Point to each.) Which one has the comma in the correct place: A, B, or C?",NA,"A) No not, me. [prgrph] B) No, not me. [prgrph] C) No not me,",NA,A,B,C,b,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA2M08,6,E06LA2b,M - Here are three words. (Point to each.) We were at the party. Which word is party? (Do not read answer choices.),NA,Which word is spelled correctly?,NA,party,paris,pita,a,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.0650982440068263,NA,NA,NA
E06LA4H09,6,E06LA4,"H - Here are three words. (Point to each.) When I listen for my alarm clock, I know it's time to get out of bed. What is another word for listen: talk, hear, smell?",NA,"When I listen for my alarm clock, I know it's time to get out of bed. [prgrph] What is another word for listen?",NA,talk,hear,smell,b,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,NA,NA,NA,0.985198244006826,0.99,NA,NA
E06LA4H10,6,E06LA4,"H - Here are three words. (Point to each.) The alleyway was so narrow, we couldn't ride our bikes through. What is another word for narrow: thin, large, or empty?",NA,"The alleyway was so narrow, we couldn't ride our bikes through. [prgrph] What is another word for narrow?",NA,thin,large,empty,a,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E06LA4H11,6,E06LA4,"H - Here are three words. (Point to each.) I saw that object floating in the water. What is another word for object: meal, thing, or rock?",NA,I saw that object floating in the water. [prgrph] What is another word for object?,NA,meal,thing,rock,b,Shortened question and changed paper to rock.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA4H12,6,E06LA4,"H - Here are three words. (Point to each.) I almost got to the top of the mountain. What is another word for almost: stop, another, or nearly?","Here are three words. [highlight answer options] I almost got to the top of the mountain. What is another word for almost: stop, another, or nearly?",I almost got to the top of the mountain. [prgrph] What is another word for almost?,NA,stop,another,nearly,c,No changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G6_E06LA4H12_intro.mp3,ELA_G6_E06LA4H12_stem.mp3,ELA_G6_E06LA4H12_a.mp3,ELA_G6_E06LA4H12_b.mp3,ELA_G6_E06LA4H12_c.mp3,NA,FT,OI,OI,NA,NA,1.28,1.28,1.28
E06LA4L01,6,E06LA4,"L - Here are three pictures with words. (Point to each.) The dog jumped onto the couch. What is another word for couch: sofa, table, mountain?",NA,The dog jumped onto the couch. [prgrph] What is another word for couch?,NA,sofa,table,mountain,a,Corrected the spelling of mountain.,NA,Couch.ai,Table2.ai,Mountain2.ai,Household Objects/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA4L02,6,E06LA4,"L - Here are three pictures with words. (Point to each.) The girl rode the horse. What is another word for horse: cow, bicycle, or pony?",NA,The girl rode the horse. [prgrph] What is another word for horse?,NA,cow,bicycle,pony,c,Changed the answer from animal to pony. Changed the horse picture to a smaller looking horse.,NA,Cow.ai,Bicycle1.ai,Horse2.ai,Animals/Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E06LA4L03,6,E06LA4,"L - Here are three pictures with words. (Point to each.) Use thepaste on the paper. What is another word for paste: box, cut, or glue?",NA,Use the paste on the paper. [prgrph] What is another word for paste?,NA,box,cut,glue,c,Do not use item.,NA,Box.ai,Scissors.ai,Glue_Stick.ai,Houshold Objects/Classroom,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA
E06LA4L04,6,E06LA4,"L - Here are three pictures with words. (Point to each.) We're going back to our house. What is another word for house: car, home, or bike?",NA,We're going back to our house. [prgrph] What is another word for house?,NA,car,home,bike,b,No changes.,NA,Car1.ai,House1.ai,Bicycle1.ai,Transportation/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.297901755993174,NA,NA,NA
E06LA4LSAMPLE,6,E06LA4,"L - Here are three pictures with words. (Point to each.) The girl began to sing loudly. What is another word for began: turn, end, or start?",NA,The girl began to sing loudly. [prgrph] What is another word for began?,NA,turn,end,start,c,No changes.,NA,Car4.ai,Stop_Sign1.ai,Girl_Whistling.ai,Transportation/People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA4M05,6,E06LA4,"M - Here are three words. (Point to each.) Playing in the dirt makes you filthy. What is another word for filthy: wet, clean, or dirty?",NA,Playing in the dirt makes you filthy. [prgrph] What is another word for filthy?,NA,wet,clean,dirty,c,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA4M06,6,E06LA4,"M - Here are three words. (Point to each.) It is late and I am very sleepy. What is another word for sleepy: tired, awake, or sick?","Here are three words. [highlight answer options] It is late and I am very sleepy. What is another word for sleepy: tired, awake, or sick?",It is late and I am very sleepy. [prgrph] What is another word for sleepy?,NA,tired,awake,sick,a,No changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G6_E06LA4M06_intro.mp3,ELA_G6_E06LA4M06_stem.mp3,ELA_G6_E06LA4M06_a.mp3,ELA_G6_E06LA4M06_b.mp3,ELA_G6_E06LA4M06_c.mp3,FT,OI,OI,OI,NA,0.932798244006826,0.93,0.93,0.93
E06LA4M07,6,E06LA4,"M - Here are three words. (Point to each.) Let me assist you so you can finish. What is another word for assist: hurt, hide, or help?",NA,Let me assist you so you can finish. [prgrph] What is another word for assist?,NA,hurt,hide,help,c,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.621898244006826,NA,NA,NA
E06LA4M08,6,E06LA4,"M - Here are three words. (Point to each.) Those loud banging noises really bother me. What is another word for bother: annoy, please, speak?",NA,Those loud banging noises really bother me. [prgrph] What is another word for bother?,NA,annoy,please,speak,a,Do not use item.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA
E06LA5H09,6,E06LA5,"H - Here are three words. (Point to each.) I will read sentences to you, follow along. (Point to sentences.)  What does man's best friend mean: dog, cat, or bird?",NA,Lena wrote a story about pets. She said that cats are nice and hamsters are ok. Her favorite pet is man's best friend. [prgrph] What does man's best friend mean?,NA,dog,cat,bird,a,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA5H10,6,E06LA5,"H - Here are three words. (Point to each.) I will read sentences to you, follow along. (Point to sentences.)  What does gloomy mean: sunny, cloudy, or bright?",NA,It was dark and foggy. Bart couldn't see the sun. It was a gloomy day. [prgrph] What does gloomy mean?,NA,sunny,cloudy,bright,b,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA5H11,6,E06LA5,"H - Here are three words. (Point to each.) I will read sentences to you, follow along. (Point to sentences.)  What does chill out mean: cold, hot, or relax?",NA,Sheena worked hard. She was tired after school. She just wanted to chill out at home. [prgrph] What does chill out mean?,NA,cold,hot,relax,c,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E06LA5H12,6,E06LA5,"H - Here are three words. (Point to each.) I will read sentences to you, follow along. (Point to sentences.)  What does hold your horses mean: wait, leave, or hurry?",NA,Lila wanted to go. Her mom was still shopping. Mom told Lila to hold your horses. [prgrph] What does hold your horses mean?,NA,wait,leave,hurry,a,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA5L01,6,E06LA5,"L - Here are three pictures with words. (Point to each.) Earl chows down eggs every day. It's his favorite food.  What does chows down mean: makes, drinks, or eats?",NA,Earl chows down eggs every day. It's his favorite food. [prgrph] What does chows down mean?,NA,makes,drinks,eats,c,Changed sushi to eggs.,NA,Boy_Eating2.ai,Boy_Holding_Cup.ai,Boy_Eating7.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E06LA5L02,6,E06LA5,"L - Here are three pictures with words. (Point to each.) Georgia tripped and broke her computer.  When she got up, she was angry.
What does angry mean: happy, mad, or sad?",NA,"Georgia tripped and broke her computer. When she got up, she was angry. [prgrph] What does angry mean?",NA,happy,mad,sad,b,No changes.,NA,Girl_Similing3.ai,Girl_Mad.ai,Girl_Sad1.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA5L03,6,E06LA5,"L - Here are three pictures with words. (Point to each.) The girl laughed at the movie.  She thought it was amusing.  What does amusing mean: funny, scary, or boring?",NA,The girl laughed at the movie. She thought it was amusing. [prgrph] What does amusing mean?,NA,funny,scary,eating,a,Reduced the smile on the picture of the girl eating.,NA,Girl_Laughing1.ai,Girl_Concerned1.ai,Girl_Eating_Apple.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA5L04,6,E06LA5,"L - Here are three pictures with words. (Point to each.) Mrs. Smith is our teacher. She is a woman. 
What is another word for woman: boy, man, or lady?",NA,Mrs. Smith is our teacher. She is a woman. [prgrph] What is another word for woman?,NA,boy,man,lady,c,No changes.,NA,Boy1.ai,Man3.ai,Girl27.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA5M05,6,E06LA5,"M - Here are three words. (Point to each.) The bell rang and school was over. Levi knew it was time to hit the road and go home. What does hit the road mean: leave, stay, or wait?",NA,The bell rang and school was over. Levi knew it was time to hit the road and go home. [prgrph] What does hit the road mean?,NA,leave,stay,wait,a,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06LA5M06,6,E06LA5,"M - Here are three phrases. (Point to each.) We were in the bus going on a field trip. We were soon close to the town. What is another word for town: country, city, or map?",NA,We were in the bus going on a field trip. We were soon close to the town. [prgrph] What is another word for town?,NA,country,city,map,b,Do not use item.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA
E06LA5M07,6,E06LA5,"M - Here are three words. (Point to each.) Micah had been watching TV all day. His mom told him to stop being a couch potato. What does couch potato mean: excited, happy, or lazy?",NA,Micah had been watching TV all day. His mom told him to stop being a couch potato. [prgrph] What does couch potato mean?,NA,excited,happy,lazy,c,Do not use item.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA
E06LA5M08,6,E06LA5,"M - Here are three phrases. (Point to each.) There were big dark clouds in the sky. Then it started raining cats and dogs.
Raining cats and dogs means that it is raining ______: none, a lot, or little?",NA,There were big dark clouds in the sky. Then it started raining cats and dogs. [prgrph] Raining cats and dogs means that it is raining ______?,NA,none,a lot,little,b,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E06LA5MSAMPLE,6,E06LA5,"M - Here are three words. (Point to each.) I will read sentences to you, follow along. (Point to sentences.) Cam and Trey were talking at school. Cam said to Trey that he thought highly of himself. What word describes thought highly of himself: proud, humble, or lowly?",NA,Cam and Trey were talking at school. Cam said to Trey that he thought highly of himself. [prgrph] What word describes thought highly of himself?,NA,proud,humble,lowly,a,Do not use item.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA
E06RI1H09,6,E06RI1,H - Here are three words and three sentences for you to read. (Point to each and have student read sentences.) What reminded Abby of the track meet? (Do not read answer choices.),"Here are three words and three sentences for you to read. [highlight words first, then sentences] What reminded Abby of the track meet? [No audio for answer choices]",Abby and her mom went to the track meet. Abby saved her ticket. It reminded her of the track meet. [prgrph] What reminded Abby of the track meet?,NA,running,ticket,people,b,No changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G6_E06RI1H09_intro.mp3,ELA_G6_E06RI1H09_stem.mp3,NA,NA,NA,FT,OI,OI,OI,NA,2.00939824400683,2.01,2.01,2.01
E06RI1H10,6,E06RI1,H - Here are three words and three sentences for you to read. (Point to each and have student read sentences.) What reminded Cassandra of the special day? (Do not read answer choices.),NA,Cassandra and her dad took a photo during their special day. Cassandra hung it on her mirror. It reminded her of the special day. [prgrph] What reminded Cassandra of the special day?,NA,prize,book,photo,c,Changed distractor word mirror to book.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.34,NA,NA
E06RI1H11,6,E06RI1,H - Here are three words and three sentences for you to read. (Point to each and have student read sentences.) What can whales hold for an hour or more? (Do not read answer choices.),NA,Whales can hold their breath for a long time while swimming. Some can hold their breath for an hour. Some can hold their breath even longer. [prgrph] What can whales hold for an hour or more?,NA,breath,water,babies,a,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.77379824400683,NA,NA,NA
E06RI1H12,6,E06RI1,H - Here are three words and three sentences for you to read. (Point to each and have student read sentences.) What is Thomas Edison known for doing? (Do not read answer choices.),"Here are three words and three sentences for you to read. [highlight words first, then sentences] What is Thomas Edison known for doing? [No audio for answer choices]","Thomas Edison is known for inventing over 1,000 things. He is best known for the light bulb. He always seemed to have great ideas. [prgrph] What is Thomas Edison known for doing?",NA,racing,inventing,logging,b,No changes.,NA,NA,NA,NA,NA,prompt (SM),word only,word only,word only,ELA_G6_E06RI1H12_intro.mp3,ELA_G6_E06RI1H12_stem.mp3,NA,NA,NA,FT,OI,OI,OI,NA,1.88119824400683,1.88,1.88,1.88
E06RI1L01,6,E06RI1,"L - Here are three pictures with words. (Point to each.) Julie cared for horses. She made sure they were healthy. What type of animal did Julie care for: horse, puppy, or kitten?","Here are three pictures with words. [highlight answer options] Julie cared for horses. She made sure they were healthy. What type of animal did Julie care for: horse, puppy, or kitten?",Julie cared for horses. She made sure they were healthy. [prgrph] What type of animal did Julie care for?,NA,horse,puppy,kitten,a,No changes.,NA,Horse1.ai,Dog20.ai,Kitten1.ai,Animals,prompt (SM),word only,word only,word only,ELA_G6_E06RI1L01_intro.mp3,ELA_G6_E06RI1L01_stem.mp3,ELA_G6_E06RI1L01_a.mp3,ELA_G6_E06RI1L01_b.mp3,ELA_G6_E06RI1L01_c.mp3,FT,OI,OI,OI,NA,0.0179982440068263,0.02,0.02,0.02
E06RI1L02,6,E06RI1,"L - Here are three pictures with words. (Point to each.) Daniel wished he could be a cowboy. He wore boots and a big hat. What did Daniel wish to be: farmer, cowboy, or doctor?",NA,Daniel wished he could be a cowboy. He wore boots and a big hat. [prgrph] What did Daniel wish to be?,NA,farmer,cowboy,doctor,b,No changes.,NA,Man_Farmer.ai,Man_Cowboy.ai,Girl_Doctor.ai,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
E06RI1L03,6,E06RI1,"L - Here are three pictures with words. (Point to each.) Cassie liked her teacher. She gave her teacher an apple. What did Cassie give her teacher: carrot, orange, or apple?",NA,Cassie liked her teacher. She gave her teacher an apple. [prgrph] What did Cassie give her teacher?,NA,carrot,orange,apple,c,No changes.,NA,Carrot1.ai,Orange1.ai,Apple1.ai,Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.663101755993174,NA,NA,NA
E06RI1L04,6,E06RI1,"L - Here are three pictures with words. (Point to each.) Casey loved sweets. She ate candy after every meal. What did Casey eat after every meal: candy, fruit, or veggies?",NA,Casey loved sweets. She ate candy after every meal. [prgrph] What did Casey eat after every meal?,NA,candy,fruit,veggies,a,No changes.,NA,Candy_Cane.ai,Apple1.ai,Carrot1.ai,Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
E06RI1M05,6,E06RI1,"M - Here are three words. (Point to each.) The students in our class like all types of music. There are many types of music. What do the students in the class like: sports, music, or reading?",NA,The students in our class like all types of music. There are many types of music. [prgrph] What do the students in the class like?,NA,sports,music,reading,b,No changes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.180498244006826,NA,NA,NA
