item_id,domain,group,standards,item_information,prompt,option_a,option_b,option_c,correct,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
S05ESS1.1HSAMPLE,NA,5,S05ESS1.1,"H - Here is the Earth, Sun and stars.  (Point to each as you read them.)  Why is the Sun brighter than other stars in the Milky Way galaxy: it is hotter than other stars, it is farther away than other stars, it is closer than other stars?",Why is the Sun brighter than other stars in the Milky Way galaxy?,It is hotter than other stars.,It is farther away than other stars.,It is closer than other stars.,c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1L1,NA,5,S05ESS1.1,"L - Here is the outside. (Point to student materials.) Which shines the brightest: rocks, the Sun, or trees?",Which shines the brightest?,rocks,Sun,tree,b,Sun_Tree_Rock.ai,Rock1.ai,Sun1.ai,Apple_Tree1.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.03,NA,NA,NA
S05ESS1.1L10,NA,5,S05ESS1.1,"L - Here are three objects. (Point to answer choices.) Which gives off the most light: a baseball, the Sun, or a leaf?",Which gives off the most light?,baseball,Sun,leaf,b,NA,Baseball5.ai,Shadow9.ai,Leaf1.ai,Sports/Weather/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.17,NA,NA,NA
S05ESS1.1L17,NA,5,S05ESS1.1,"L - Here are three objects. (Point to answer choices.) Which is brightest: ball, the Sun, or clock?",Which is brightest?,ball,Sun,clock,b,NA,Basketball5.ai,Sun120.ai,Clock21.ai,Sports/Weather/Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1L18,NA,5,S05ESS1.1,"L - Here are three objects. (Point to answer choices.) Which is brightest: book, house, or the Sun?",Which is brightest?,book,house,Sun,c,NA,Book1.ai,Cabin.ai,Sun1.ai,Classroom/Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.51,NA,NA,NA
S05ESS1.1L19,NA,5,S05ESS1.1,"L - Here are three objects. (Point to answer choices.) Which is brightest: the Sun, chair, or clock?",Which is brightest?,Sun,chair,clock,a,NA,Sun1.ai,Chair2.ai,Clock2.ai,Weather/Household Objects/Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.46,NA,NA,NA
S05ESS1.1L2,NA,5,S05ESS1.1,"L -  This is a ball. (Point to ball.) Which is brighter than a ball: a potato, an apple, or the Sun?",Which is brighter than a ball?,potato,apple,Sun,c,Soccer5.ai,Potato3.ai,Apple27.ai,Sun120.ai,Sports/Food/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1L25,NA,5,S05ESS1.1,"L - Here are three objects. (Point answer choices.) Which is brightest: Sun, ball, or dog?",Which is brightest?,Sun,ball,dog,a,NA,Sun1.ai,Ball_Stars1.ai,Dog1.ai,Weather/Misc./Animal,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.04,NA,NA,NA
S05ESS1.1L26,NA,5,S05ESS1.1,"L - Here are three objects. (Point to answer choices.) Which gives us the most light:  tree, Sun, or backpack?",Which gives us the most light?,tree,Sun,backpack,b,NA,Tree27.ai,Sun120.ai,Backpack2.ai,Plants_Outdoors/Weather/Clothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1L3,NA,5,S05ESS1.1,"L - This is a truck. (Point to truck.) Which shines brighter than the truck: the Sun, carrot, or rose?",Which shines brighter than the truck?,Sun,carrot,rose,a,Truck1.ai,Sun120.ai,Carrot7.ai,Rose4.ai,Transportation/Weather/Food/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1L9,NA,5,S05ESS1.1,"L - Here are three objects. (Point to answer choices.) Which gives off the most light: bowl, cup, or Sun?",Which gives off the most light?,bowl,cup,Sun,c,NA,Bowl2.ai,Cup2.ai,Sun8.ai,Household Objects/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1M11,NA,5,S05ESS1.1,"M - Here are three objects. (Point to answer choices.) Which gives off the most light: Sun, tree, or bird?",Which gives off the most light?,Sun,tree,bird,a,NA,Sun8.ai,Tree3.ai,Bird4.ai,Weather/Plants_Outdoors/Animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.17,NA,NA,NA
S05ESS1.1M12,ESS - OI,5,S05ESS1.1,"M - Here are three objects. (Point to answer choices.) Which gives off the most light: stop sign, Sun, or street light?",Which gives off the most light?,stop sign,Sun,street light,b,NA,Stop_Sign1.ai,Sun1.ai,Street_Light1.ai,Misc./Weather,NA,graphic + word,graphic + word,graphic + word,Science_G5_S05ESS1.1M12_intro.mp3,Science_G5_S05ESS1.1M12_stem.mp3,Science_G5_S05ESS1.1M12_a.mp3,Science_G5_S05ESS1.1M12_b.mp3,Science_G5_S05ESS1.1M12_c.mp3,FT,OI,OI,OI,NA,1.48,1.48,1.48,1.48
S05ESS1.1M13,NA,5,S05ESS1.1,"M - Here are three objects. (Point to answer choices.) Which gives off the most light: Sun, Moon, or stars?",Which gives off the most light?,Sun,Moon,stars,a,NA,Sun8.ai,Moon_Stars4.ai,Stars3.ai,Weather/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1M20,NA,5,S05ESS1.1,"M - Here are three objects. (Point to answer choices.) Which is brightest: the Sun, cloud, or balloon?",Which is brightest?,Sun,cloud,balloon,a,NA,Sun1.ai,Cloud1.ai,Balloon9.ai,Weather/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.01,NA,NA,NA
S05ESS1.1M21,NA,5,S05ESS1.1,"M - Here are three objects. (Point to answer choices.) Which is brightest: bird, the Sun, or Moon?",Which is brightest?,bird,Sun,Moon,b,NA,Bird22.ai,Sun120.ai,Moon8.ai,Animals/Weather/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1M22,NA,5,S05ESS1.1,"M - Here are three objects. (Point to answer choices.) Which is brightest: Jupiter, the Sun, or airplane?",Which is brightest?,Jupiter,Sun,airplane,b,NA,Jupiter.ai,Sun120.ai,Plane23.ai,Astronomy/Weather/Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1M27,NA,5,S05ESS1.1,"M - Here are three objects. (Point to answer choices.) Which is brightest: airplane, Moon, or Sun?",Which is brightest?,airplane,Moon,Sun,c,NA,Plane23.ai,Moon8.ai,Sun120.ai,Transportation/Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1M28,NA,5,S05ESS1.1,"M - Here are three objects. (Point to answer choices.)  Which gives off the most light: cloud, Sun, or football?",Which gives us the most light?,clouds,Sun,football,b,NA,Cloud2.ai,Sun1.ai,Football1.ai,Weather/Sports,NA,graphic + word,graphic + word,graphic + word,Science_G5_S05ESS1.1M28_intro.mp4,Science_G5_S05ESS1.1M28_stem.mp4,Science_G5_S05ESS1.1M28_a.mp4,Science_G5_S05ESS1.1M28_b.mp4,Science_G5_S05ESS1.1M28_c.mp4,FT,NA,NA,OI,NA,0.7,NA,NA,0.2723
S05ESS1.1M29,NA,5,S05ESS1.1,"M - Here are three objects. (Point to answer choices.)  Which is the brightest:  Sun, Saturn, or bird?",Which is the brightest?,Sun,Saturn,bird,a,NA,Sun1.ai,Saturn.ai,Bird1.ai,Weather/Astronomy/Animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.11,NA,NA,NA
S05ESS1.1M4,NA,5,S05ESS1.1,"M - This is a cloud. (Point to cloud.) Which shines brighter than the cloud: raindrop, the Sun, or an airplane?",Which shines brighter than the cloud?,raindrop,Sun,airplane,b,Cloud2.ai,Rain_Drop3.ai,Sun120.ai,Plane23.ai,Weather/Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1M5,NA,5,S05ESS1.1,"M - Here is the sky. (Point to picture of sky.) Which is the brightest object in the sky: a comet, bird, or the Sun?",Which is the brightest object in the sky?,comet,bird,Sun,c,Cloud_Sun1.ai,Comet2.ai,Bird22.ai,Sun120.ai,Weather/Astronomy/Animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.1M6,NA,5,S05ESS1.1,"M - Here are three pictures. (Point to student materials.) Which object is the brightest in the sky: the Moon, the Sun, or a street lamp?",What object shines the brightest in the sky?,Moon,Sun,street lamp,b,NA,Moon8.ai,Sun120.ai,Street_Light2.ai,Astronomy/Weather/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2H15,NA,5,S05ESS1.2,"H - It is late afternoon andTom sees his shadow. (Point to prompt.) Which picture shows where the Sun would likely be: A, B, or C?",It is late afternoon and Tom sees his shadow. Which picture shows where the Sun would likely be?,A,B,C,b,Shadow.ai,Sun14.ai,Shadow9.ai,Sun19.ai,Weather,prompt  + graphic,graphic + letter,graphic + letter,graphic + letter,Science_G5_S05ESS1.2H15_intro.mp3,Science_G5_S05ESS1.2H15_stem.mp3,Science_G5_S05ESS1.2H15_a.mp3,Science_G5_S05ESS1.2H15_b.mp3,Science_G5_S05ESS1.2H15_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,2.206
S05ESS1.2H16,NA,5,S05ESS1.2,"H - Here is the Earth. (Point to prompt.) Which shows where the Sun would be: A, B, or C?",Which shows where the Sun would be?,A,B,C,c,Earth1.ai,Sun_Earth1.ai,Sun_Earth2.ai,Sun_Earth3.ai,Astronomy,prompt  + graphic,graphic + letter,graphic + letter,graphic + letter,Science_G5_S05ESS1.2H16_intro.mp3,Science_G5_S05ESS1.2H16_stem.mp3,Science_G5_S05ESS1.2H16_a.mp3,Science_G5_S05ESS1.2H16_b.mp3,Science_G5_S05ESS1.2H16_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,2.0047
S05ESS1.2H22,NA,5,S05ESS1.2,"H - This is the Earth and Sun. (Point to prompt.) Where is it daytime on the Earth: A, B, or C?",Where is it daytime on the Earth?,A,B,C,c,Sun_Earth_ABC.ai,NA,NA,NA,Astronomy,prompt  + graphic,graphic + letter,graphic + letter,graphic + letter,Science_G5_S05ESS1.2H22_intro.mp3,Science_G5_S05ESS1.2H22_stem.mp3,Science_G5_S05ESS1.2H22_a.mp3,Science_G5_S05ESS1.2H22_b.mp3,Science_G5_S05ESS1.2H22_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,1.0245
S05ESS1.2H23,NA,5,S05ESS1.2,"H - This is the Earth and Sun. (Point to prompt.) Which shows night on the Earth: A, B, or C?",Which shows night on the Earth?,A,B,C,a,Sun_Earth_ABC.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
S05ESS1.2H24,NA,5,S05ESS1.2,"H - This graph compares amount of sunlight in each season. (Point to picture of the sun in prompt.) When is there the most sunlight: Summer, Fall, or Winter?",This graph compares amount of sunlight in each season. When is there the most sunlight?,Summer,Fall,Winter,a,Sunlight_Graph.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.16,NA,NA
S05ESS1.2H31,NA,5,S05ESS1.2,"H - Here are three objects. (Point to answer choices.) Which gives off light to make a shadow: basketball, candle, or pencil?",Which gives off light to make a shadow?,basketball,candle,pencil,b,NA,Basketball9.ai,Candle4.ai,Pencil.ai,Sports/Household Objects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.09,NA
S05ESS1.2H32,NA,5,S05ESS1.2,"H - Here are three objects. (Point to answer choices.) Which gives off light to make a shadow: flashlight, basketball, or pencil?",Which gives off light to make a shadow?,flashlight,calculator,pen,a,NA,Flashlight1.ai,Calculator.ai,Pen2.ai,Misc./Household Objects,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2H6,NA,5,S05ESS1.2,"H - The Sun is shining on the Earth at point A.  (Point to student materials.) What time of day is it at point B: morning, night, or afternoon?",The Sun is shining on the Earth at point A. What time of day is it at point B?,morning,night,afternoon,b,Sun_Earth_AtoB.ai,NA,NA,NA,Astronomgy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,2.04,NA
S05ESS1.2H7,ESS - FT,5,S05ESS1.2,"H - Here is a girl. (Point to girl.) What will happen to the girl's shadow as it gets later in the afternoon: get shorter, disappear, or get longer?",What will happen to the girl's shadow as it gets later in the afternoon?,shorter,same,longer,c,Sun17.ai,Sun13.ai,Sun15.ai,Sun16.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,2,NA,NA
S05ESS1.2H8,NA,5,S05ESS1.2,"H - The Sun is shining on the Earth at point A.  (Point to point A.) Is it lighter, darker, or the same at point B?","The Sun is shining on the Earth at point A. Is it lighter, darker, or the same at point B?",lighter,darker,same,b,Sun_Earth_AtoB.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
S05ESS1.2L1,NA,5,S05ESS1.2,"L - Here is a boy. (Point to boy.) What tells you it is daytime: the Moon, the Sun, or tree?",What tells you it is daytime?,Moon,Sun,tree,b,Tree_Boy_Sun_Cloud.ai,Moon9.ai,Sun120.ai,Tree27.ai,Plants_Outdoors/Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2L10,NA,5,S05ESS1.2,"L - Here are three pictures. (Point to answer choices.) Which shows nighttime: A, B, or C?",Which shows night?,A,B,C,c,NA,House_Sun_Dog.ai,House_Sun_Bird.ai,House_Night.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2L11,NA,5,S05ESS1.2,"L - Meg is outside. (Point to prompt.) How do you know that it is daytime: the Sun, grass, or the clouds?",Meg is outside. How do you know that it is daytime?,Sun,grass,clouds,a,Sun_Cloud_Girl.ai,Sun1.ai,Grass1.ai,Cloud2.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2L17,NA,5,S05ESS1.2,"L - Here are three objects. (Point to answer choices.) Which is brightest during the day: Moon, Sun, or Saturn?",Which is brightest during the day?,Moon,Sun,Saturn,b,NA,Moon9.ai,Sun120.ai,Saturn2.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2L18,NA,5,S05ESS1.2,"L - Here are three objects. (Point to answer choices.) Which can you see the easiest at night: Moon, Sun, or cloud?",Which can you see the easiest at night?,Moon,Sun,cloud,a,NA,Moon9.ai,Sun120.ai,Cloud12.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2L2,NA,5,S05ESS1.2,"L - Here is a boy. (Point to boy.) When is it easy to see your shadow: while sleeping, at nighttime, or daytime.",When is it easy to see your shadow?,sleeping,nighttime,daytime,c,Shadow9.ai,Boy_Sleeping3.ai,Stars3.ai,Sun1.ai,Weather/People/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2L25,NA,5,S05ESS1.2,"L - Here are three objects. (Point to answer choices.) Which creates shadows during the day: Moon, computer, or the Sun?",Which creates shadows during the day?,Moon,computer,Sun,c,NA,Moon8.ai,Computer3.ai,Sun120.ai,Astronomy/Household Objects/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2L26,NA,5,S05ESS1.2,"L - A shadow is caused when an object blocks light. (Point to answer choices.) Which would have the biggest shadow: tree, pencil, or ball?",A shadow is caused when an object blocks light. Which could have the longest shadow?,tree,pencil,ball,a,NA,Sun21.ai,Sun22.ai,Sun23.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2L27,NA,5,S05ESS1.2,"L - Here are three objects. (Point to answer choices.) Which shines at night: grass, Moon, or apple?",Which shines at night?,grass,Moon,apple,b,NA,Grass5.ai,Moon8.ai,Apple27.ai,Plants_Outdoors/Astronomy/Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2L9,NA,5,S05ESS1.2,"L - Here are three pictures. (Point to answer choices.) Which shows daytime: A, B, or C?",Which shows daytime?,A,B,C,b,NA,Night_House.ai,House_Sun_Bird.ai,House_Sun_Stars.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2LSAMPLE,NA,5,S05ESS1.2,"L - Here are three pictures. (Point to student materials.) Which shines brightest at night: moon, sun, or Saturn?",Which shines brightest at night?,Moon,Sun,Saturn,a,NA,Moon9.ai,Sun120.ai,Saturn2.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2M12,NA,5,S05ESS1.2,"M - Jose has a shadow. (Point to prompt.) Which picture shows where the Sun should be: A, B, or C?",Which picture shows where the Sun should be?,A,B,C,b,Sun36.ai,Sun33.ai,Sun34.ai,Sun35.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2M13,NA,5,S05ESS1.2,"M - José has a shadow. (Point to prompt.) Which picture shows where the Sun should be: A, B, or C?",Which picture shows where the Sun should be?,A,B,C,c,Sun40.ai,Sun37.ai,Sun38.ai,Sun39.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2M14,NA,5,S05ESS1.2,"M - José has a shadow. (Point to prompt.) Which picture shows where the Sun should be: A, B, or C?",Which picture shows where the Sun should be?,A,B,C,a,Sun44.ai,Sun41.ai,Sun42.ai,Sun43.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2M19,NA,5,S05ESS1.2,"M - This person has a shadow. (Point to shadow in prompt.) When would it be easiest to see this shadow: during the day, at night, or in the rain?",This person has a shadow. When would it be easiest to see this shadow?,day,night,in the rain,a,Shadow2.ai,Sun45.ai,Night3.ai,Rain1.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
S05ESS1.2M20,NA,5,S05ESS1.2,"M - This girl is outside. (Point to girl in prompt.) Which shadow would she make in late afternoon: A, B, or C?",This girl is outside. Which shadow would she make in late afternoon?,A,B,C,b,Shadow3.ai,Shadow8.ai,Shadow2.ai,Shadow3.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2M21,NA,5,S05ESS1.2,"M - This is Julie. (Point to girl in prompt.) If Julie goes outside at noon, what will her shadow look like: A, B, or C?","If Julie goes outside at noon, what will her shadow look like?",A,B,C,a,Shadow8.ai,Shadow5.ai,Shadow6.ai,Shadow7.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2M28,NA,5,S05ESS1.2,"M - Here is a girl. (Point to girl in prompt.) When could you best see her shadow: nighttime, underwater, or daytime?",When could you best see her shadow?,nighttime,underwater,daytime,c,Sun46.ai,NA,NA,NA,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2M29,NA,5,S05ESS1.2,"M - Here is the Sun and a boy. (Point to prompt.) Which direction will the boy's shadow fall: in front, behind, or to the side him?",Which direction will the boy's shadow fall?,front,behind,side,b,Sun48.ai,Sun47.ai,Sun121.ai,Sun122.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2M3,NA,5,S05ESS1.2,"M - Here are three pictures. (Point to student materials.) Which shows the correct direction of the girl's shadow: A, B, or C?",Which shows the correct direction of the girl's shadow?,A,B,C,b,NA,Sun25.ai,Sun26.ai,Sun24.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2M30,NA,5,S05ESS1.2,"M - Here are three objects. (Point to answer choices.) Which object would create the biggest shadow: ball, apple, or car?",Which object would create the biggest shadow?,ball,apple,car,c,Sun49.ai,Soccer16.ai,Apple27.ai,Car40.ai,Weather/Sports/Transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05ESS1.2M4,NA,5,S05ESS1.2,"M - Here are three pictures. (Point to student materials.) Where should the Sun be in the sky: A, B, or C?",Where should the sun be in the sky?,A,B,C,a,NA,Sun27.ai,Sun28.ai,Sun29.ai,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
