item_id,group,standards,item_information,prompt,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
M08EXE1.3_H09,8,M08EXE1.3,"(H) Here is a large number, 700. (Point to student materials.) Here are three numbers written in scientific notation. The power tells us how many zeros to add to the number. Which number here equals 700: 9 times 10 to the second power, 8 times ten to the second power, or 7 times ten to the second power?","700

Which number here equals 700?",9 X 10^2,8 X 10^2,7 X 10^2,c,NA,NA,Equation66.ai,Equation67.ai,Equation68.ai,Math Equations,prompt (SM),letter only,letter only,letter only,Math_G8_M08EXE1.3_H09_intro.mp3,Math_G8_M08EXE1.3_H09_stem.mp3,Math_G8_M08EXE1.3_H09_a.mp3,Math_G8_M08EXE1.3_H09_b.mp3,Math_G8_M08EXE1.3_H09_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,0.291
M08EXE1.3_H10,8,M08EXE1.3,"(H) Here is a large number, 800. (Point to student materials.) Here are three numbers written in scientific notation. The power tells us how many zeros to add to the number. Which number here equals 800: 8 times 10 to the second power, 7 times ten to the second power, or 6 times ten to the second power?","800

Which number here equals 800?",8 X 10^2,7 X 10^2,6 X 10^2,a,NA,NA,Equation67.ai,Equation68.ai,Equation69.ai,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
M08EXE1.3_H11,8,M08EXE1.3,"(H) Here is a large number, 900. (Point to student materials.) Here are three numbers written in scientific notation. The power tells us how many zeros to add to the number. Which number here equals 900: 7 times 10 to the second power, 8 times ten to the second power, or 9 times ten to the second power?","900

Which number here equals 900?",7 X 10^2,8 X 10^2,9 X 10^2,c,NA,NA,Equation68.ai,Equation67.ai,Equation66.ai,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE1.3_H12,8,M08EXE1.3,"(H) Here is a large number, 1000. (Point to student materials.) Here are three numbers written in scientific notation. The power tells us how many zeros to add to the number. Which number here equals 1000: 8 times 10 to the second power, 9 times ten to the second power, or 10 times ten to the second power?","1000

Which number here equals 1000?",8 X 10^2,9 X 10^2,10 X 10^2,c,NA,NA,Equation67.ai,Equation66.ai,Equation70.ai,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE1.3_L01,8,M08EXE1.3,"(L) Here is a  number, 10. (Point to student materials.) Here are three numbers written in scientific notation. The power tells us how many zeros to add to the number. Which number here equals 10: 1 times 10 to the first power, 1 times ten to the second power, or 1 times ten to the third power?","10

Which number here equals 10?",1 X 10^1,1 X 10^2,1 X 10^3,a,NA,NA,Equation71.ai,Equation72.ai,Equation73.ai,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.92,NA,NA
M08EXE1.3_L02,8,M08EXE1.3,"(L) Here is a  number, 20. (Point to student materials.) Here are three numbers written in scientific notation. The power tells us how many zeros to add to the number. Which number here equals 20: 2 times 10 to the first power, 3 times ten to the first power, or 4 times ten to the first power?","20

Which number here equals 20?",2 X 10^1,3 X 10^1,4 X 10^1,a,NA,NA,Equation74.ai,Equation75.ai,Equation76.ai,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE1.3_L03,8,M08EXE1.3,"(L) Here is a  number, 30. (Point to student materials.) Here are three numbers written in scientific notation. The power tells us how many zeros to add to the number. Which number here equals 30: 1 times 10 to the first power, 2 times ten to the first power, or 3 times ten to the first power?","30

Which number here equals 30?",1 X 10^1,2 X 10^1,3 X 10^1,c,NA,NA,Equation71.ai,Equation74.ai,Equation75.ai,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE1.3_L04,8,M08EXE1.3,"(L) Here is a  number, 40. (Point to student materials.) Here are three numbers written in scientific notation. The power tells us how many zeros to add to the number. Which number here equals 40: 4 times 10 to the first power, 5 times ten to the first power, or 6 times ten to the first power?","40

Which number here equals 40?",4 X 10^1,5 X 10^1,6 X 10^1,a,NA,NA,Equation76.ai,Equation77.ai,Equation78.ai,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE1.3_M05,8,M08EXE1.3,"(M) Here is a large number, 300. (Point to student materials.) Here are three numbers written in scientific notation. The power tells us how many zeros to add to the number. Which number here equals 300: 2 times 10 to the second power, 3 times ten to the second power, or 4 times ten to the second power?","300

Which number here equals 300?",2 X 10^2,3 X 10^2,4 X 10^2,b,NA,NA,Equation79.ai,Equation80.ai,Equation81.ai,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.84,NA
M08EXE1.3_M06,8,M08EXE1.3,"(M) Here is a large number, 400. (Point to student materials.) Here are three numbers written in scientific notation. The power tells us how many zeros to add to the number. Which number here equals 400: 4 times 10 to the second power, 5 times ten to the second power, or 6 times ten to the second power?","400

Which number here equals 400?",4 X 10^2,5 X 10^2,6 X 10^2,a,NA,NA,Equation81.ai,Equation82.ai,Equation83.ai,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE1.3_M07,8,M08EXE1.3,"(M) Here is a  number, 500. (Point to student materials.) Here are three numbers written in scientific notation. The power tells us how many zeros to add to the number. Which number here equals 500: 5 times 10 to the second power, 6 times ten to the second power, or 7 times ten to the second power?","500

Which number here equals 500?",5 X 10^2,6 X 10^2,7 X 10^2,a,NA,NA,Equation82.ai,Equation83.ai,Equation84.ai,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE1.3_M08,8,M08EXE1.3,"(M) Here is a large number, 600. (Point to student materials.) Here are three numbers written in scientific notation. The power tells us how many zeros to add to the number. Which number here equals 600: 5 times 10 to the second power, 6 times ten to the second power, or 7 times ten to the second power?","600

Which number here equals 600?",5 X 10^2,6 X 10^2,7 X 10^2,b,NA,NA,Equation82.ai,Equation83.ai,Equation84.ai,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE1.3_SAMPLE,8,M08EXE1.3,"(H) Here is a large number, 700. (Point to student materials.) Here are three numbers written in scientific notation. The power tells us how many zeros to add to the number. Which number here equals 700: 7 times 10 to the first power, 7 times ten to the second power, or 7 times ten to the third power?","700

Which number here equals 700?",7 X 10^1,7 X 10^2,7 X 10 ^3,b,NA,NA,Equation85.ai,Equation84.ai,Equation86.ai,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
M08EXE1.4_H09,8,M08EXE1.4,"(H) Here is the number 55 to the negative 2 power. (Point to student materials.) Does the power of negative two make 55 smaller, larger, or stay the same?","55^-2

< , >, or = 55

Does the power of negative two make 55 smaller, larger, or stay the same?",smaller,larger,same,a,NA,<>=_55.55.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.32,NA,NA,NA
M08EXE1.4_H10,8,M08EXE1.4,"(H) Here is the number 80 to the negative 3 power. (Point to student materials.) Does the power of negative three make 80 smaller, larger, or stay the same?","80^-3

< , >, or = 80

Does the power of negative three make 80 smaller, larger, or stay the same?",smaller,larger,same,a,NA,<>=_80.80.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,NA,NA,NA,1.52,1.52,NA,NA
M08EXE1.4_H11,8,M08EXE1.4,"(H) Here is the number 85 to the negative 2 power. (Point to student materials.) Does the power of negative two make 85 smaller, larger, or stay the same?","85^-1

< , >, or = 85

Does the power of negative two make 85 smaller, larger, or stay the same?",smaller,larger,same,a,NA,<>=_85.85.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.58,NA,NA,NA
M08EXE1.4_H12,8,M08EXE1.4,"(H) Here is the number 90 to the negative 3 power. (Point to student materials.) Does the power of negative three make 90 smaller, larger, or stay the same?","90^-3

< , >, or = 90

Does the power of negative three make 90 smaller, larger, or stay the same?",smaller,larger,same,a,NA,<>=_90.90.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.18,NA,NA,NA
M08EXE1.4_L01,8,M08EXE1.4,"(L) Here is the number 5 to the first power. (Point to student materials.) Does the power of one make 5 smaller, larger, or stay the same?","5^1

<, > or = 5

Does the power of one make 5 smaller, larger, or stay the same?",smaller,larger,same,a,NA,<>=_5.5.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.95,NA,NA,NA
M08EXE1.4_L02,8,M08EXE1.4,"(L) Here is the number 10 to the first power. (Point to student materials.) Does the  first power make 10 smaller, larger, or stay the same?","10^1

<, > or = 10

Does the  first power make 10 smaller, larger, or stay the same?",smaller,larger,same,a,NA,<>=_10.10.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.88,NA,NA,NA
M08EXE1.4_L03,8,M08EXE1.4,"(L) Here is the number 15 to the first power. (Point to student materials.) Does the  first power make 15 smaller, larger, or stay the same?","15^1

<, > or = 15

Does the  first power make 15 smaller, larger, or stay the same?",smaller,larger,same,a,NA,<>=15.15b.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.8,NA,NA,NA
M08EXE1.4_L04,8,M08EXE1.4,"(L) Here is the number 20 to the first power. (Point to student materials.) Does the  first power make 20 smaller, larger, or stay the same?","20^1

<, > or = 20

Does the  first power make 20 smaller, larger, or stay the same?",smaller,larger,same,a,NA,<>=_20.20.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.85,NA,NA,NA
M08EXE1.4_M05,8,M08EXE1.4,"(M) Here is the number 25 to the second power. (Point to student materials.) Does the  second power make 25 smaller, larger, or stay the same?","25^2

<, > or = 25

Does the  second power make 25 smaller, larger, or stay the same?",smaller,larger,same,a,NA,<>=_25.25.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.11,NA,NA,NA
M08EXE1.4_M06,8,M08EXE1.4,"(M) Here is the number 30 to the second power. (Point to student materials.) Does the  second power make smaller, larger, or stay the same?","30^2

<,> or =30

Does the  second power make 30 smaller, larger, or stay the same?",smaller,larger,same,a,NA,<>=_30.30.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.25,NA,NA,NA
M08EXE1.4_M07,8,M08EXE1.4,"(M) Here is the number 35 to the second power. (Point to student materials.) Does the  second power make 35 smaller, larger, or stay the same?","35^2

< ,> or = 35

Does the  second power make 35 smaller, larger, or stay the same?",smaller,larger,same,a,NA,<>=_35.35b.ai,NA,NA,NA,Math Equations,prompt + graphic,word only,word only,word only,Math_G8_M08EXE1.4_M07_intro.mp3,Math_G8_M08EXE1.4_M07_stem.mp3,Math_G8_M08EXE1.4_M07_a.mp4,Math_G8_M08EXE1.4_M07_b.mp4,Math_G8_M08EXE1.4_M07_c.mp4,FT,OI,OI,OI,NA,1.28,1.28,1.28,1.28
M08EXE1.4_M08,8,M08EXE1.4,"(M) Here is the number 40 to the second power. (Point to student materials.) Does the  second power make 40 smaller, larger, or stay the same?","40^2

<, > or = 40

Does the  second power make 40 smaller, larger, or stay the same?",smaller,larger,same,a,NA,<>=_40.40.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.08,NA,NA,NA
M08EXE1.4_SAMPLE,8,M08EXE1.4,"(H) Here is the number 75 to the negative 2 power. (Point to student materials.) Does the power of negative two make 75 smaller, larger, or stay the same?","75^-2

< , >, or = 75

Does the power of negative two make 75 smaller, larger, or stay the same?",smaller,larger,same,a,NA,<>=_75.75.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE2.5_H09,8,M08EXE2.5,"(H) Here are three line graphs. (Point to student materials.) Slope is how steep a line is. You find positive slope by counting how many units you go up, and then right from one point to find the next point. Zero slopes mean that the line is flat. Which line has a slope of 11 up, one to the right: A, B, or C?","Which line has a slope of 11 up, 1 to the right?",A,B,C,c,NA,NA,Graph_Vector1.ai,Graph_Vector2.ai,Graph_Vector3.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.22,NA,NA,NA
M08EXE2.5_H10,8,M08EXE2.5,"(H) Here are three line graphs. (Point to student materials.) Slope is how steep a line is. You find positive slope by counting how many units you go up, and then right from one point to find the next point. Zero slopes mean that the line is flat. Which line has a slope of 15 up, one to the right: A, B, or C?","Which line has a slope of 15 up, 1 to the right?",A,B,C,b,NA,NA,Graph_Vector4.ai,Graph_Vector5.ai,Graph_Vector6.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,OI,NA,NA,1.6,1.6,1.6,NA
M08EXE2.5_H11,8,M08EXE2.5,"(H) Here are three line graphs. (Point to student materials.) Slope is how steep a line is.You find negative slope by counting how many units you go down, then right to find the next point. Which line has a slope of one down, one to the right: A, B, or C?","Which line has a slope of 1 down, 1 to the right?",A,B,C,a,NA,NA,Graph_Vector7.ai,Graph_Vector8.ai,Graph_Vector9.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.1,NA,NA,NA
M08EXE2.5_H12,8,M08EXE2.5,"(H) Here are three line graphs. (Point to student materials.) Slope is how steep a line is. You find negative slope by counting how many units you go down, and then right to find the next point.  Which line has a slope of  two down, one to the right: A, B, or C?","Which line has a slope of 2 down, 1 to the right?",A,B,C,b,NA,NA,Graph_Vector10.ai,Graph_Vector11.ai,Graph_Vector12.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.56,NA,NA,NA
M08EXE2.5_L01,8,M08EXE2.5,"(L) Here are three line graphs. (Point to student materials.) Slope is how steep a line is. You find positive slope by counting how many units you go up, and then right from one point to find the next point. Zero slopes mean that the line is flat. Which line has a slope of zero: A, B, or C?",Which line has a slope of zero?,A,B,C,a,NA,NA,Graph_Vector13.ai,Graph_Vector14.ai,Graph_Vector15.ai,Graphs_Number Lines_Tables,prompt (SM),graphic + letter,graphic + letter,graphic + letter,Math_G8_M08EXE2.5_L01_intro.mp3,Math_G8_M08EXE2.5_L01_stem.mp3,Math_G8_M08EXE2.5_L01_a.mp3,Math_G8_M08EXE2.5_L01_b.mp3,Math_G8_M08EXE2.5_L01_c.mp3,FT,OI,OI,OI,NA,0.52,0.52,0.52,0.52
M08EXE2.5_L02,8,M08EXE2.5,"(L) Here are three line graphs. (Point to student materials.) Slope is how steep a line is. You find positive slope by counting how many units you go up, and then right from one point to find the next point. Zero slopes mean that the line is flat. Which line has a slope of two up, one to the right: A, B, or C?","Which line has a slope of two up, one to the right?",A,B,C,a,NA,NA,Graph_Vector16.ai,Graph_Vector17.ai,Graph_Vecctor18.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.72,NA,NA,NA
M08EXE2.5_L03,8,M08EXE2.5,"(L) Here are three line graphs. (Point to student materials.) Slope is how steep a line is. You find positive slope by counting how many units you go up, and then right from one point to find the next point. Zero slopes mean that the line is flat. Which line has a slope of three up, one to the right: A, B, or C?","Which line has a slope of three up, one to the right?",A,B,C,c,NA,NA,Graph_Vector19.ai,Graph_Vector20.ai,Graph_Vector21.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.54,NA,NA,NA
M08EXE2.5_L04,8,M08EXE2.5,"(L) Here are three line graphs. (Point to student materials.) Slope is how steep a line is. You find positive slope by counting how many units you go up, and then right from one point to find the next point. Zero slopes mean that the line is flat. Which line has a slope of four up, one to the right: A, B, or C?","Which line has a slope of four up, one to the right?",A,B,C,b,NA,NA,Graph_Vector22.ai,Graph_Vector23.ai,Graph_Vector24.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.76,NA,NA,NA
M08EXE2.5_M05,8,M08EXE2.5,"(M) Here are three line graphs. (Point to student materials.) Slope is how steep a line is. You find positive slope by counting how many units you go up, and then right from one point to find the next point. Zero slopes mean that the line is flat. Which line has a slope of six up, one to the right: A, B, or C?","Which line has a slope of six up, one to the right?",A,B,C,a,NA,NA,Graph_Vector25.ai,Graph_Vector26.ai,Graph_Vector27.ai,Graphs_Number Lines_Tables,prompt (SM),graphic + letter,graphic + letter,graphic + letter,Math_G8_M08EXE2.5_M05_intro.mp4,Math_G8_M08EXE2.5_M05_stem.mp4,Math_G8_M08EXE2.5_M05_a.mp4,Math_G8_M08EXE2.5_M05_b.mp4,Math_G8_M08EXE2.5_M05_c.mp4,FT,NA,NA,OI,NA,1.8,NA,NA,1.7759
M08EXE2.5_M06,8,M08EXE2.5,"(M) Here are three line graphs. (Point to student materials.) Slope is how steep a line is. You find positive slope by counting how many units you go up, and then right from one point to find the next point. Zero slopes mean that the line is flat. Which line has a slope of seven up, one to the right: A, B, or C?","Which line has a slope of seven up, one to the right?",A,B,C,b,NA,NA,Graph_Vector28.ai,Graph_Vector29.ai,Graph_Vector30.ai,Graphs_Number Lines_Tables,prompt + graphic,number only,number only,number only,Math_G8_M08EXE2.5_M06_intro.mp3,Math_G8_M08EXE2.5_M06_stem.mp3,Math_G8_M08EXE2.5_M06_a.mp3,Math_G8_M08EXE2.5_M06_b.mp3,Math_G8_M08EXE2.5_M06_c.mp3,FT,OI,OI,OI,NA,1.39,1.39,1.39,1.39
M08EXE2.5_M07,8,M08EXE2.5,"(M) Here are three line graphs. (Point to student materials.) Slope is how steep a line is. You find positive slope by counting how many units you go up, and then right from one point to find the next point. Zero slopes mean that the line is flat. Which line has a slope of eight up, one to the right: A, B, or C?","Which line has a slope of eight up, one to the right?",A,B,C,c,NA,NA,Graph_Vector31.ai,Graph_Vector32.ai,Graph_Vector33.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.58,NA,NA,NA
M08EXE2.5_M08,8,M08EXE2.5,"(M) Here are three line graphs. (Point to student materials.) Slope is how steep a line is. You find positive slope by counting how many units you go up, and then right from one point to find the next point. Zero slopes mean that the line is flat. Which line has a slope of nine up, two to the right: A, B, or C?","Which line has a slope of nine up, one to the right?",A,B,C,b,NA,NA,Graph_Vector34.ai,Graph_Vector35.ai,Graph_Vector36.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.09,NA,NA,NA
M08EXE2.5_SAMPLE,8,M08EXE2.5,"(L) Here are three line graphs. (Point to student materials.) Slope is how steep a line is. You find positive slope by counting how many units you go up, and then right from one point to find the next point. Zero slopes mean that the line is flat. Which line has a slope of one up, one to the right: A, B, or C?","Which line has a slope of one up, one to the right?",A,B,C,b,NA,NA,Graph_Vector37.ai,Graph_Vector38.ai,Graph_Vector39.ai,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE2.6_H09,8,M08EXE2.6,"(H) Here are two similar triangles, triangle ABC and triangle EFG. (Point to student materials.) Because the triangles are similar, their corresponding slopes are the same. Which line has the same slope as line AB: EF, FG, or GE?",Which line has the same slope as line AB?,NA,NA,NA,a,NA,Triangle16.ai,Line_EF.ai,Line_FG.ai,Line_EG.ai,Shapes/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.33,NA,NA,NA
M08EXE2.6_H10,8,M08EXE2.6,"(H) Here are two similar triangles, triangle MNO and triangle XYZ. (Point to student materials.) Because the triangles are similar, their corresponding slopes are the same. Which line has the same slope as line MO: XY, YZ, or XZ?",Which line has the same slope as line MO?,NA,NA,NA,c,NA,Triangle17.ai,Line_XY.ai,Line_YZ.ai,Line_XZ.ai,Shapes/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.49,NA,NA,NA
M08EXE2.6_H11,8,M08EXE2.6,"(H) Here are two similar triangles, triangle QRS and triangle TUV. (Point to student materials.) Because the triangles are similar, their corresponding slopes are the same. Which line has the same slope as line RQ: UT, UV, or VT?",Which line has the same slope as line RQ?,NA,NA,NA,a,NA,Triangle18.ai,Line_UT.ai,Line_UV.ai,Line_VT.ai,Shapes/Misc.,prompt + graphic,graphic + letter,graphic + letter,graphic + letter,Math_G8_M08EXE2.6_H11_intro.mp3,Math_G8_M08EXE2.6_H11_stem.mp3,Math_G8_M08EXE2.6_H11_a.mp3,Math_G8_M08EXE2.6_H11_b.mp3,Math_G8_M08EXE2.6_H11_c.mp3,NA,FT,OI,OI,NA,NA,1.86,1.86,1.86
